Scheduler,Utilization,TotalTasks,CompletedTasks,DeadlineMisses,CriticalMisses,NonCriticalMisses,DroppedJobs,AvgResponseTime,AvgTurnaroundTime,AvgWaitingTime,AvgSlackTime,CPUUtilization,TotalPreemptions
SRTF,0.50,20,20,13,9,4,0,240.15,301.15,241.25,-163.55,98.20,1
Modified_SRTF,0.50,20,20,15,7,8,0,235.95,338.25,278.35,-200.65,98.20,4
SRTF,0.70,24,24,13,9,4,0,230.75,284.12,233.58,-175.08,93.52,3
Modified_SRTF,0.70,24,24,15,5,10,0,301.33,379.04,328.50,-270.00,93.52,3
SRTF,0.85,27,27,19,12,7,0,377.48,435.44,378.81,-313.22,98.39,2
Modified_SRTF,0.85,27,27,22,11,11,0,450.85,510.00,453.37,-387.78,98.39,3
SRTF,0.95,29,29,17,10,7,0,324.69,427.79,371.38,-302.41,100.00,7
Modified_SRTF,0.95,29,29,22,10,12,0,450.14,511.97,455.55,-386.59,100.00,5
SRTF,1.10,32,32,24,15,9,0,516.94,636.38,572.88,-492.94,99.32,5
Modified_SRTF,1.10,32,32,29,16,13,0,649.81,720.38,656.88,-576.94,99.32,3
